Feature	Pfam
Pfam_611	GO:0016787
Pfam_612	GO:0003700;GO:0006355
Pfam_613	GO:0005543
Pfam_614	GO:0003779
Pfam_615	GO:0005525
Pfam_616	GO:0019239
Pfam_617	GO:0000166;GO:0003677
Pfam_618	GO:0000166;GO:0003677
Pfam_619	GO:0008270
Pfam_620	GO:0016020;GO:0030001;GO:0046873;GO:0055085
Pfam_621	GO:0046872
Pfam_622	GO:0005525
Pfam_623	GO:0016787
Pfam_624	GO:0005515
Pfam_625	GO:0005096
Pfam_626	GO:0045454
Pfam_627	GO:0045454
Pfam_628	GO:0003677;GO:0003917;GO:0005694;GO:0006265
Pfam_629	GO:0003677;GO:0003917;GO:0006265
Pfam_630	GO:0004584;GO:0006506
Pfam_631	GO:0005887;GO:0055085
Pfam_632	GO:0003700;GO:0006355
Pfam_633	GO:0004129;GO:0005743;GO:0005751
Pfam_634	GO:0003735;GO:0005761;GO:0006412
Pfam_635	GO:0003910;GO:0006281;GO:0006310
Pfam_636	GO:0003910
Pfam_637	GO:0003677;GO:0003910;GO:0006281;GO:0006310
Pfam_638	GO:0003910;GO:0005524;GO:0006281;GO:0006310
Pfam_639	GO:0005515
Pfam_640	GO:0005515
Pfam_641	GO:0005515
Pfam_642	GO:0005515
Pfam_643	GO:0005515
Pfam_644	GO:0004672;GO:0005524;GO:0006468
Pfam_645	GO:0005247;GO:0006821;GO:0016020;GO:0055085
Pfam_646	GO:0003677
Pfam_647	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_648	GO:0005524;GO:0016887
Pfam_649	GO:0003677
Pfam_650	GO:0016020;GO:0030001;GO:0046873;GO:0055085
Pfam_651	GO:0005086;GO:0032012
Pfam_652	GO:0005515
Pfam_653	GO:0005085;GO:0007264
Pfam_654	GO:0003676;GO:0005524
Pfam_655	GO:0016772
Pfam_656	GO:0004531;GO:0006259
Pfam_657	GO:0034315;GO:0035650;GO:0048203;GO:1900025;GO:2000146
Pfam_658	GO:0004930;GO:0007186;GO:0016021
Pfam_659	GO:0022857;GO:0043190;GO:0055085
Pfam_660	GO:0010038;GO:0016756;GO:0046872;GO:0046938
Pfam_661	GO:0016579;GO:0036459
Pfam_662	GO:0005515
Pfam_663	GO:0016021
Pfam_664	GO:0005515
Pfam_665	GO:0007009
Pfam_666	GO:0008171
Pfam_667	GO:0003774;GO:0005524;GO:0016459
Pfam_668	GO:0003774;GO:0016459
Pfam_669	GO:0016020;GO:0030001;GO:0046873
Pfam_670	GO:0003678;GO:0005524
Pfam_671	GO:0003924;GO:0007186;GO:0019001;GO:0031683
Pfam_672	GO:0006355
Pfam_673	GO:0046983
Pfam_674	GO:0004672;GO:0006468
Pfam_675	GO:0000145;GO:0006904
Pfam_676	GO:0006886;GO:0016020
Pfam_677	GO:0003677;GO:0003887;GO:0006260
Pfam_678	GO:0003847;GO:0016042
Pfam_679	GO:0005515
Pfam_680	GO:0005515
Pfam_681	GO:0005515
Pfam_682	GO:0005515
Pfam_683	GO:0005515
Pfam_684	GO:0005515
Pfam_685	GO:0005515
Pfam_686	GO:0005515
Pfam_687	GO:0004672;GO:0006468
Pfam_688	GO:0005509
Pfam_689	GO:0005509
Pfam_690	GO:0005509
Pfam_691	GO:0007154;GO:0016021
Pfam_692	GO:0007154;GO:0016021
Pfam_693	GO:0007154;GO:0016021
Pfam_694	GO:0007154;GO:0016021
Pfam_695	GO:0000155;GO:0007165
Pfam_696	GO:0000160
Pfam_697	GO:0005515
Pfam_698	GO:0004672;GO:0005524;GO:0006468
Pfam_699	GO:0016021;GO:0055085
Pfam_700	GO:0016021;GO:0055085
Pfam_701	GO:0008270
Pfam_702	GO:0035091
Pfam_703	GO:0005515
Pfam_704	GO:0005515
Pfam_705	GO:0000413;GO:0003755
Pfam_706	GO:0005515;GO:0005524;GO:0005694;GO:0051276
Pfam_707	GO:0005515
Pfam_708	GO:0005515
Pfam_709	GO:0005515
Pfam_710	GO:0016779
Pfam_711	GO:0005515
Pfam_712	GO:0003774;GO:0005524;GO:0016459
Pfam_713	GO:0005856
Pfam_714	GO:0016021;GO:0016125;GO:0047750
Pfam_715	GO:0005515
Pfam_716	GO:0005515
Pfam_717	GO:0005515
Pfam_718	GO:0005515
Pfam_719	GO:0005509
Pfam_720	GO:0005509
Pfam_721	GO:0004672;GO:0006468
Pfam_722	GO:0007154;GO:0016021
Pfam_723	GO:0007154;GO:0016021
Pfam_724	GO:0007154;GO:0016021
Pfam_725	GO:0007154;GO:0016021
Pfam_726	GO:0005515
Pfam_727	GO:0005515
Pfam_728	GO:0007155;GO:0051015
Pfam_729	GO:0007155;GO:0051015
Pfam_730	GO:0005524
Pfam_731	GO:0005524
Pfam_732	GO:0008289
Pfam_733	GO:0005524
Pfam_734	GO:0005515
Pfam_735	GO:0005515
Pfam_736	GO:0003700;GO:0006355;GO:0043565
Pfam_737	GO:0005515
Pfam_738	GO:0005515
Pfam_739	GO:0005515
Pfam_740	GO:0005515
Pfam_741	GO:0005515
Pfam_742	GO:0005515
Pfam_743	GO:0005515
Pfam_744	GO:0005515
Pfam_745	GO:0005515
Pfam_746	GO:0005515
Pfam_747	GO:0006364;GO:0032040
Pfam_748	GO:0003700;GO:0006355;GO:0043565
Pfam_749	GO:0004672;GO:0006468
Pfam_750	GO:0004672;GO:0006468
Pfam_751	GO:0003924;GO:0005525
Pfam_752	GO:0004930;GO:0007186;GO:0016021
Pfam_753	GO:0005096;GO:0051056
Pfam_754	GO:0005096;GO:0043547
Pfam_755	GO:0005096;GO:0043547
Pfam_756	GO:0006508;GO:0008234
Pfam_757	GO:0004672;GO:0006468
Pfam_758	GO:0005515
Pfam_759	GO:0016787
Pfam_760	GO:0004672;GO:0006468
