Feature	Pfam
Pfam_472	GO:0003824
Pfam_473	GO:0005337;GO:0016021;GO:1901642
Pfam_474	GO:0000287;GO:0004749;GO:0009165
Pfam_475	GO:0005634;GO:0006352
Pfam_476	GO:0003677
Pfam_477	GO:0003824
Pfam_478	GO:0005789;GO:0006506;GO:0016740
Pfam_479	GO:0005737;GO:0006535;GO:0009001
Pfam_480	GO:0016021;GO:0016765
Pfam_481	GO:0004190;GO:0016021
Pfam_482	GO:0005515
Pfam_483	GO:0005515
Pfam_484	GO:0005515
Pfam_485	GO:0005515
Pfam_486	GO:0005515
Pfam_487	GO:0005515
Pfam_488	GO:0005524
Pfam_489	GO:0005634;GO:0042254
Pfam_490	GO:0003723;GO:0006396
Pfam_491	GO:0003723;GO:0006396
Pfam_492	GO:0005737;GO:0006457;GO:0051082
Pfam_493	GO:0003723
Pfam_494	GO:0000166;GO:0004812;GO:0005524;GO:0006418
Pfam_495	GO:0016579;GO:0036459
Pfam_496	GO:0008270
Pfam_497	GO:0003677;GO:0006303
Pfam_498	GO:0003677;GO:0003678;GO:0006303
Pfam_499	GO:0008270
Pfam_500	GO:0046854
Pfam_501	GO:0005525
Pfam_502	GO:0003755
Pfam_503	GO:0006891;GO:0017119
Pfam_504	GO:0002100;GO:0008251
Pfam_505	GO:0016746
Pfam_506	GO:2001070
Pfam_507	GO:2001070
Pfam_508	GO:0003676;GO:0005524
Pfam_509	GO:0008270
Pfam_510	GO:0003677;GO:0003916;GO:0006265
Pfam_511	GO:0003676;GO:0008270
Pfam_512	GO:0016020;GO:0016021
Pfam_513	GO:0006629
Pfam_514	GO:0008272;GO:0015116;GO:0016021
Pfam_515	GO:0008272;GO:0015116;GO:0016021
Pfam_516	GO:0005509
Pfam_517	GO:0003676
Pfam_518	GO:0003676
Pfam_519	GO:0003723
Pfam_520	GO:0005634
Pfam_521	GO:0005634
Pfam_522	GO:0005524
Pfam_523	GO:0045454
Pfam_524	GO:0004553;GO:0005975
Pfam_525	GO:0005515
Pfam_526	GO:0016020
Pfam_527	GO:0008146;GO:0016021
Pfam_528	GO:0016021;GO:0032977
Pfam_529	GO:0000155;GO:0007165
Pfam_530	GO:0000160
Pfam_531	GO:0005216;GO:0006811;GO:0016020
Pfam_532	GO:0004553;GO:0005975
Pfam_533	GO:0005524;GO:0016887
Pfam_534	GO:0005524;GO:0016887
Pfam_535	GO:0016021
Pfam_536	GO:0006812;GO:0015299;GO:0016021;GO:0055085
Pfam_537	GO:0005509
Pfam_538	GO:0005509
Pfam_539	GO:0005509
Pfam_540	GO:0016020;GO:0030001;GO:0046873;GO:0055085
Pfam_541	GO:0003677;GO:0046983
Pfam_542	GO:0003746;GO:0006414
Pfam_543	GO:0005737;GO:0043043
Pfam_544	GO:0003824;GO:0051536
Pfam_545	GO:0004672;GO:0005524;GO:0006468
Pfam_546	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_547	GO:0006400;GO:0016763
Pfam_548	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_549	GO:0016020
Pfam_550	GO:0016757
Pfam_551	GO:0005730;GO:0008168
Pfam_552	GO:0005515
Pfam_553	GO:0005515
Pfam_554	GO:0016021;GO:0022857;GO:0055085
Pfam_555	GO:0048037
Pfam_556	GO:0003824
Pfam_557	GO:0003824
Pfam_558	GO:0016310;GO:0016772
Pfam_559	GO:0005524;GO:0016301;GO:0016310
Pfam_560	GO:0005524;GO:0016301;GO:0016310
Pfam_561	GO:0016310;GO:0016772
Pfam_562	GO:0016491;GO:0055114
Pfam_563	GO:0016616;GO:0055114
Pfam_564	GO:0016021
Pfam_565	GO:0003676;GO:0005524
Pfam_566	GO:0005515
Pfam_567	GO:0003997;GO:0005777;GO:0006635
Pfam_568	GO:0016627;GO:0055114
Pfam_569	GO:0005524;GO:0006457;GO:0051082
Pfam_570	GO:0016020
Pfam_571	GO:0004842;GO:0016567
Pfam_572	GO:0006812;GO:0008324;GO:0016021;GO:0055085
Pfam_573	GO:0045454
Pfam_574	GO:0045454
Pfam_575	GO:0005247;GO:0006821;GO:0016020;GO:0055085
Pfam_576	GO:0005515
Pfam_577	GO:0005515
Pfam_578	GO:0005515
Pfam_579	GO:0005515
Pfam_580	GO:0005515
Pfam_581	GO:0005515
Pfam_582	GO:0005515
Pfam_583	GO:0005515
Pfam_584	GO:0005198;GO:0006886;GO:0016192;GO:0030117
Pfam_585	GO:0016020;GO:0022857;GO:0055085
Pfam_586	GO:0005515
Pfam_587	GO:0005524;GO:0016787
Pfam_588	GO:0003677
Pfam_589	GO:0005524
Pfam_590	GO:0005524
Pfam_591	GO:0016021;GO:0022857;GO:0055085
Pfam_592	GO:0005515
Pfam_593	GO:0005515
Pfam_594	GO:0005680;GO:0030071
Pfam_595	GO:0005515
Pfam_596	GO:0005515
Pfam_597	GO:0005515
Pfam_598	GO:0005515
Pfam_599	GO:0005515
Pfam_600	GO:0005515
Pfam_601	GO:0005515
Pfam_602	GO:0016021
Pfam_603	GO:0015297;GO:0016020;GO:0042910;GO:0055085
Pfam_604	GO:0015297;GO:0016020;GO:0042910;GO:0055085
Pfam_605	GO:0000139;GO:0015165;GO:0016021;GO:0090481
Pfam_606	GO:0016491;GO:0055114
Pfam_607	GO:0004784;GO:0006801;GO:0046872;GO:0055114
Pfam_608	GO:0004784;GO:0006801;GO:0046872;GO:0055114
Pfam_609	GO:0005975;GO:0008184
Pfam_610	GO:0006457
Pfam_611	GO:0005515
Pfam_612	GO:0005515
Pfam_613	GO:0005515
Pfam_614	GO:0005515
Pfam_615	GO:0005515
Pfam_616	GO:0005515
Pfam_617	GO:0005515
Pfam_618	GO:0004672;GO:0005524;GO:0006468
Pfam_619	GO:0003824
Pfam_620	GO:0003924;GO:0005525
Pfam_621	GO:0003676
Pfam_622	GO:0006886;GO:0016192;GO:0030117
Pfam_623	GO:0005198;GO:0006886;GO:0016192;GO:0030126
Pfam_624	GO:0005515
Pfam_625	GO:0004672;GO:0005524;GO:0006468
Pfam_626	GO:0004674;GO:0005524;GO:0006468
Pfam_627	GO:0000413;GO:0003755
Pfam_628	GO:0003676;GO:0005524
Pfam_629	GO:0016491;GO:0055114
Pfam_630	GO:0016787
Pfam_631	GO:0004672;GO:0005524;GO:0006468
Pfam_632	GO:0005887;GO:0055085
Pfam_633	GO:0005887;GO:0055085
Pfam_634	GO:0015297;GO:0016020;GO:0042910;GO:0055085
Pfam_635	GO:0015297;GO:0016020;GO:0042910;GO:0055085
Pfam_636	GO:0016020;GO:0022857;GO:0071705
Pfam_637	GO:0016020;GO:0016021
Pfam_638	GO:0002949
Pfam_639	GO:0004834;GO:0006568
Pfam_640	GO:0003689;GO:0005524;GO:0005663;GO:0006260
Pfam_641	GO:0005524
Pfam_642	GO:0005524;GO:0009058
Pfam_643	GO:0005524;GO:0009058;GO:0016874
Pfam_644	GO:0006506;GO:0016021;GO:0016746
Pfam_645	GO:0005975;GO:0016857
Pfam_646	GO:0005975;GO:0016773
Pfam_647	GO:0005975;GO:0016773
Pfam_648	GO:0004222;GO:0005524;GO:0006508
Pfam_649	GO:0005524
Pfam_650	GO:0005524;GO:0016887
Pfam_651	GO:0005524;GO:0016887
Pfam_652	GO:0005887;GO:0055085
Pfam_653	GO:0003676;GO:0005524
Pfam_654	GO:0016491;GO:0055114
Pfam_655	GO:0003735;GO:0005840;GO:0006412;GO:0008097
Pfam_656	GO:0003676;GO:0005524
Pfam_657	GO:0005524;GO:0006298
Pfam_658	GO:0005524;GO:0006298;GO:0030983
Pfam_659	GO:0004176;GO:0004252;GO:0006508
Pfam_660	GO:0005524
Pfam_661	GO:0005524
Pfam_662	GO:0003777;GO:0007018;GO:0030286
Pfam_663	GO:0009055;GO:0051536
Pfam_664	GO:0006400;GO:0008176
Pfam_665	GO:0009916;GO:0055114
Pfam_666	GO:0004252;GO:0006508
Pfam_667	GO:0003777;GO:0005524;GO:0007018;GO:0008017
Pfam_668	GO:0003824
Pfam_669	GO:0003729;GO:0005849;GO:0006378
Pfam_670	GO:0005634;GO:0006364;GO:0008168
Pfam_671	GO:0008168;GO:0032259
Pfam_672	GO:0003824;GO:0005975;GO:0043169
Pfam_673	GO:0003824;GO:0005975
Pfam_674	GO:0004553;GO:0005975
Pfam_675	GO:0006511;GO:0031625
Pfam_676	GO:0005634;GO:0006397
Pfam_677	GO:0046907
Pfam_678	GO:0005515
Pfam_679	GO:0016020
Pfam_680	GO:0003677
Pfam_681	GO:0003677;GO:0003824
Pfam_682	GO:0046872
Pfam_683	GO:0008270
Pfam_684	GO:0003735;GO:0005840;GO:0006412
Pfam_685	GO:0016020;GO:0016021
